GPU Memory Track | 06-Jun-22-15:40:23 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 1 * Size:(450, 40)            | Memory: 0.0686 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(10230,)             | Memory: 0.1560 M | <class 'torch.Tensor'> | torch.int64
+ | 76 * Size:(450,)               | Memory: 0.1304 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1705, 6)            | Memory: 0.0780 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(790, 6)             | Memory: 0.0361 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(4740,)              | Memory: 0.0361 M | <class 'torch.Tensor'> | torch.int64
+ | 76 * Size:(450,)               | Memory: 0.1304 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1705, 450)          | Memory: 5.8536 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(790, 521)           | Memory: 1.5700 M | <class 'torch.Tensor'> | torch.float32
- | 44 * Size:(450,)               | Memory: 0.0755 M | <class 'torch.Tensor'> | torch.float32
- | 44 * Size:(450,)               | Memory: 0.0755 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:584.2  Mb Total Allocated Memory:515.5  Mb

+ | 12 * Size:(450, 900)           | Memory: 18.539 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(450, 482)           | Memory: 3.3096 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(450, 82)            | Memory: 0.5630 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(450, 82)            | Memory: 0.5630 M | <class 'torch.Tensor'> | torch.float32
+ | 16 * Size:(28,)                | Memory: 0.0017 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(450, 40)            | Memory: 0.2746 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(859,)               | Memory: 0.0131 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(859,)               | Memory: 0.0131 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(450, 485)           | Memory: 3.3302 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:()                   | Memory: 3.8146 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(450, 450)           | Memory: 15.449 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(450, 60)            | Memory: 0.4119 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 16 * Size:(28, 450)            | Memory: 0.7690 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 12 * Size:(450, 932)           | Memory: 19.198 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(450, 521)           | Memory: 3.5774 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(450, 60)            | Memory: 0.4119 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(1,)                 | Memory: 1.5258 M | <class 'torch.Tensor'> | torch.float32
+ | 8 * Size:(450, 510)           | Memory: 7.0037 M | <class 'torch.Tensor'> | torch.float32
+ | 12 * Size:(450, 900)           | Memory: 18.539 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 16 * Size:(28,)                | Memory: 0.0017 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(450, 40)            | Memory: 0.2746 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(450, 482)           | Memory: 3.3096 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(1, 450)             | Memory: 0.0068 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(1, 450)             | Memory: 0.0068 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(450, 450)           | Memory: 15.449 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 12 * Size:(859, 450)           | Memory: 17.694 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(450, 485)           | Memory: 3.3302 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(450, 521)           | Memory: 3.5774 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 12 * Size:(859, 450)           | Memory: 17.694 M | <class 'torch.Tensor'> | torch.float32
+ | 16 * Size:(28, 450)            | Memory: 0.7690 M | <class 'torch.Tensor'> | torch.float32
+ | 8 * Size:(450, 510)           | Memory: 7.0037 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(1,)                 | Memory: 1.5258 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 12 * Size:(450, 932)           | Memory: 19.198 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(2000,)              | Memory: 0.0152 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(450, 40)            | Memory: 0.0686 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 19 * Size:(2811,)              | Memory: 0.4074 M | <class 'torch.Tensor'> | torch.int64
- | 40 * Size:(937, 932)           | Memory: 133.25 M | <class 'torch.Tensor'> | torch.float32
- | 4 * Size:(28,)                | Memory: 0.0004 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 2 * Size:(1705, 450)          | Memory: 5.8536 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(500, 450)           | Memory: 0.8583 M | <class 'torch.Tensor'> | torch.float32
- | 3 * Size:(450, 932)           | Memory: 4.7996 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(450, 485)           | Memory: 0.8325 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(500, 932)           | Memory: 1.7776 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(937, 450)           | Memory: 128.67 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(937, 1)             | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(10230,)             | Memory: 0.1560 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1705, 6)            | Memory: 0.0780 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(937,)               | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
- | 76 * Size:(450,)               | Memory: 0.1304 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(450, 60)            | Memory: 0.1029 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(4740,)              | Memory: 0.0361 M | <class 'torch.Tensor'> | torch.int64
- | 76 * Size:(450,)               | Memory: 0.1304 M | <class 'torch.Tensor'> | torch.float32
- | 4 * Size:(28, 450)            | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(500, 4)             | Memory: 0.0152 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(450, 482)           | Memory: 0.8274 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(1705, 82)           | Memory: 0.5333 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(937, 3)             | Memory: 0.0214 M | <class 'torch.Tensor'> | torch.int64
- | 3 * Size:(450, 900)           | Memory: 4.6348 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 2 * Size:(450, 510)           | Memory: 1.7509 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(450, 82)            | Memory: 0.1407 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(500,)               | Memory: 0.0038 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(937, 3, 450)        | Memory: 188.19 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(937, 482)           | Memory: 3.4456 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(450, 521)           | Memory: 0.8943 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 20 * Size:(2811, 450)          | Memory: 96.508 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(790, 6)             | Memory: 0.0361 M | <class 'torch.Tensor'> | torch.int64
- | 5 * Size:(450, 450)           | Memory: 3.8623 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(1,)                 | Memory: 3.8146 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(859,)               | Memory: 0.0032 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 3 * Size:(859, 450)           | Memory: 4.4237 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(790, 521)           | Memory: 1.5700 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1, 450)             | Memory: 0.0017 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 2 * Size:(843,)               | Memory: 0.0128 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(843, 4, 450)        | Memory: 225.74 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(453,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(3372, 450)          | Memory: 115.76 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(453, 5)             | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
+ | 19 * Size:(3372,)              | Memory: 0.4888 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(843, 1)             | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2265,)              | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(843, 932)           | Memory: 119.88 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(453, 932)           | Memory: 1.6105 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(453, 450)           | Memory: 0.7776 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(843, 4)             | Memory: 0.0257 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(843, 482)           | Memory: 3.1000 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(843, 450)           | Memory: 115.76 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:673.6  Mb Total Allocated Memory:574.1  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:673.6  Mb Total Allocated Memory:574.1  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1669, 6)            | Memory: 0.0764 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4626,)              | Memory: 0.0352 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1669, 82)           | Memory: 0.5220 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1669, 450)          | Memory: 5.7300 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(771, 521)           | Memory: 1.5323 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(10014,)             | Memory: 0.1528 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(771, 6)             | Memory: 0.0352 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:681.8  Mb Total Allocated Memory:592.1  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(453, 5)             | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(843, 1)             | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1669, 82)           | Memory: 0.5220 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(10014,)             | Memory: 0.1528 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(843, 4, 450)        | Memory: 225.74 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(843, 932)           | Memory: 119.88 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(843, 4)             | Memory: 0.0257 M | <class 'torch.Tensor'> | torch.int64
- | 20 * Size:(3372, 450)          | Memory: 115.76 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(453, 450)           | Memory: 0.7776 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(771, 521)           | Memory: 1.5323 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(843, 450)           | Memory: 115.76 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(843,)               | Memory: 0.0128 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(453,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(771, 6)             | Memory: 0.0352 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1669, 6)            | Memory: 0.0764 M | <class 'torch.Tensor'> | torch.int64
- | 19 * Size:(3372,)              | Memory: 0.4888 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(2265,)              | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4626,)              | Memory: 0.0352 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(453, 932)           | Memory: 1.6105 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1669, 450)          | Memory: 5.7300 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(843, 482)           | Memory: 3.1000 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 80 * Size:(869, 450)           | Memory: 119.33 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(466, 450)           | Memory: 0.7999 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(466, 4)             | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(2607, 450)          | Memory: 89.504 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(869, 1)             | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(869,)               | Memory: 0.0132 M | <class 'torch.Tensor'> | torch.int64
+ | 19 * Size:(2607,)              | Memory: 0.3779 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(466,)               | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(869, 482)           | Memory: 3.1956 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1864,)              | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(869, 3)             | Memory: 0.0198 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(466, 932)           | Memory: 1.6567 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(869, 932)           | Memory: 123.58 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 39 * Size:(869, 3, 450)        | Memory: 174.53 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:603.4  Mb Total Allocated Memory:531.9  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:603.4  Mb Total Allocated Memory:531.9  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(4638,)              | Memory: 0.0353 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(773, 6)             | Memory: 0.0353 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1673, 82)           | Memory: 0.5233 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1673, 6)            | Memory: 0.0765 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(10038,)             | Memory: 0.1531 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(773, 521)           | Memory: 1.5363 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1673, 450)          | Memory: 5.7437 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:611.6  Mb Total Allocated Memory:550.0  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 19 * Size:(2607,)              | Memory: 0.3779 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1673, 82)           | Memory: 0.5233 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(869, 482)           | Memory: 3.1956 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1673, 6)            | Memory: 0.0765 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(869, 450)           | Memory: 119.33 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(466, 450)           | Memory: 0.7999 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(466,)               | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(773, 6)             | Memory: 0.0353 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(10038,)             | Memory: 0.1531 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(869, 3)             | Memory: 0.0198 M | <class 'torch.Tensor'> | torch.int64
- | 40 * Size:(869, 932)           | Memory: 123.58 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(869, 1)             | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(773, 521)           | Memory: 1.5363 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(466, 4)             | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
- | 20 * Size:(2607, 450)          | Memory: 89.504 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(869,)               | Memory: 0.0132 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4638,)              | Memory: 0.0353 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1864,)              | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(466, 932)           | Memory: 1.6567 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(869, 3, 450)        | Memory: 174.53 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1673, 450)          | Memory: 5.7437 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
